mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
69.2392683982849,1.5336208947808607,10.546056509017944,0.4823243968972911,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.5898148148148148,0.5736111111111111,0.5893518518518519,0.5976851851851852,0.5472222222222223,0.5795370370370371,0.017948161140913344,7
72.65420899391174,2.429293447130386,11.239364051818848,0.4381181618626335,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.5,0.5023148148148148,0.5083333333333333,0.5060185185185185,0.4740740740740741,0.4981481481481481,0.01237765919663037,10
67.73212780952454,1.295352949760669,10.07483458518982,0.2605989545691063,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.10185185185185185,0.10555555555555556,0.10601851851851851,0.09861111111111111,0.11064814814814815,0.10453703703703703,0.0040719691532029685,12
61.81806311607361,1.744300045162895,8.36167573928833,0.3741817856995989,1.0,linear,"{'C': 1, 'kernel': 'linear'}",0.8763888888888889,0.8768518518518519,0.8842592592592593,0.8828703703703704,0.8703703703703703,0.8781481481481481,0.004998285028246609,3
68.89974641799927,0.28932703189711956,11.044086027145386,0.5694983257273978,1.0,rbf,"{'C': 1, 'kernel': 'rbf'}",0.8347222222222223,0.8351851851851851,0.8393518518518519,0.8421296296296297,0.8351851851851851,0.8373148148148148,0.0029368058383618255,6
69.00149636268615,1.1361282107380226,10.200997924804687,1.1885258440412565,1.0,poly,"{'C': 1, 'kernel': 'poly'}",0.47129629629629627,0.48148148148148145,0.4652777777777778,0.46805555555555556,0.48194444444444445,0.4736111111111111,0.006885552756510442,11
62.569301986694335,1.3763660756739313,9.2978946685791,0.8208373212899015,5.0,linear,"{'C': 5, 'kernel': 'linear'}",0.8800925925925925,0.8787037037037037,0.8870370370370371,0.8875,0.8708333333333333,0.8808333333333334,0.006132118773999422,1
70.16860795021057,1.2322517901437007,10.337025260925293,0.6383293875460914,5.0,rbf,"{'C': 5, 'kernel': 'rbf'}",0.8513888888888889,0.8513888888888889,0.8578703703703704,0.8587962962962963,0.8476851851851852,0.8534259259259258,0.004239082645281332,4
67.89922175407409,1.1577740207031273,10.226212739944458,1.7619720241615988,5.0,poly,"{'C': 5, 'kernel': 'poly'}",0.5,0.512962962962963,0.48842592592592593,0.49398148148148147,0.5083333333333333,0.5007407407407408,0.008999123566531706,8
64.81690301895142,4.343209669630494,10.744927787780762,2.4448882308356725,10.0,linear,"{'C': 10, 'kernel': 'linear'}",0.8800925925925925,0.8787037037037037,0.8870370370370371,0.8875,0.8708333333333333,0.8808333333333334,0.006132118773999422,1
73.30480012893676,1.6974719077542326,9.534149503707885,0.11124145911761603,10.0,rbf,"{'C': 10, 'kernel': 'rbf'}",0.8513888888888889,0.8513888888888889,0.8578703703703704,0.8587962962962963,0.8476851851851852,0.8534259259259258,0.004239082645281332,4
51.41769938468933,9.654610412513009,5.955825328826904,1.7873603984181268,10.0,poly,"{'C': 10, 'kernel': 'poly'}",0.5,0.512962962962963,0.48842592592592593,0.49398148148148147,0.5083333333333333,0.5007407407407408,0.008999123566531706,8
